Features;HpENVYx360;HpENVY17.3;Hp5.6i3;HpPavilion15.6;HpPavilion17.3;Hp5.6AMD
easy wired web connection;0;0;1;1;1;1
4th gen intel core i3-4010u processor;0;0;0;1;0;0
hp pavilion 15-f010dx laptop;0;0;0;1;0;0
1.7 ghz processor speed;0;0;0;1;1;0
15.6  wled-backlit high-definition touch-screen display;0;0;0;1;0;0
500gb hard drive;0;0;0;1;0;0
4gb ddr3l sdram;0;0;0;1;0;1
15.6  touch screen;0;0;0;1;0;0
intel core i5 processor;0;0;0;0;1;0
turbo boost up to 2.7 ghz;0;0;0;0;1;0
hp texture linear finish;0;0;0;0;1;0
1600 x 900 resolution;0;0;0;0;1;0
17.3  wled-backlit high-definition display;0;0;0;0;1;0
hp truevision front-facing high-definition webcam;0;0;0;0;1;0
hp protectsmart hard drive protection safeguards;0;0;0;0;1;0
hp pavilion 17-f115dx laptop;0;0;0;0;1;0
750gb serial ata hard drive;0;0;0;0;1;0
4th gen intel core i5-4210u processor;0;0;0;0;1;0
game in arresting clarity;0;0;0;0;1;0
wireless lan;0;0;0;0;1;1
17.3  high-definition display;0;0;0;0;1;0
1792mb total available video memory;0;0;0;0;1;0
horizontal brush design in natural silver;0;0;0;0;1;0
hp 15-f004dx laptop;0;0;0;0;0;1
trademark of advanced micro devices;0;0;0;0;0;1
amd e1-2100 accelerated processor;0;0;0;0;0;1
entertaining streaming media;0;0;0;0;0;1
8210 integrated graphics;0;0;0;0;0;1
amd arrow logo;0;0;0;0;0;1
amd radeon hd 8210 ;0;0;0;0;0;1
game in stunning clarity;0;0;0;0;0;1
resolution;1920 x 1080;1920 x 1080;1366 x 768;1366 x 768;1600 x 900;1366 x 768
display;;17.3  wled-backlit high-definition touch-screen;15.6  wled-backlit high-definition;15.6  wled-backlit high-definition touch-screen;17.3  wled-backlit high-definition;15.6  wled-backlit high-definition
operating system;8.1;8.1 64-bit;8.1 64-bit;8.1 64-bit;8.1 64-bit;8.1 64-bit
total available video memory;;4096mb;;;1792mb;
lan;;;;;;
touch screen;15.6  full hd;;;15.6;;
drive;750gb hard;1tb hard;500gb serial ata hard;500gb hard;750gb serial ata hard;500gb serial ata hard
turbo boost;;sc;;;up to 2.7 ghz;
ghz processor speed;;2.0;1.9;1.7;1.7;
format;secure digital memory card;secure digital;;secure digital;;
processor;i5-4210u mobile;i7-4510u;intel core i3;intel core i3;4th gen intel core i5-4210u;
laptop;hp envy 15-u010dx;hp envy m7-k111dx;hp 15-f019dx;hp pavilion 15-f010dx;hp pavilion 17-f115dx;hp 15-f004dx
media reader;built-in;multiformat;digital;digital;digital;digital
gen intel core;;;4th;4th;4th;
silver;;natural;;;;
