Features Trans;gen;intel;core;processor;gen intel core
4th gen intel core i3-4030u processor;1;1;1;1;1
4th gen intel core i3-4010u processor;1;1;1;1;1
4th gen intel core i5-4210u processor;1;1;1;1;1
